date,season,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2020-09-12,2020,Crystal Palace,Southampton,1,0,1.3956860452890396,1.2626737169921398
2020-09-12,2020,Fulham,Arsenal,0,3,0.1263265097513795,2.7198892310261726
2020-09-12,2020,Liverpool,Leeds,4,3,3.163538726978004,0.2698132451623678
2020-09-12,2020,West Ham,Newcastle United,0,2,0.8777559380978346,1.6591140665113926
2020-09-13,2020,Tottenham,Everton,0,1,0.8229440376162529,1.2679276010021567
2020-09-13,2020,West Bromwich Albion,Leicester,0,3,0.35299655236303806,2.985829470679164
2020-09-14,2020,Brighton,Chelsea,1,3,1.4436947898939252,1.2706250213086605
2020-09-14,2020,Sheffield United,Wolverhampton Wanderers,0,2,0.9507563821971416,1.6130684912204742
2020-09-19,2020,Arsenal,West Ham,2,1,1.329019457101822,2.064686691388488
2020-09-19,2020,Everton,West Bromwich Albion,5,2,4.276116130873561,0.3153465948998928
2020-09-19,2020,Leeds,Fulham,4,3,1.4570778273046017,1.5550310835242271
2020-09-19,2020,Manchester United,Crystal Palace,1,3,1.1013481970876455,1.9145618127658963
2020-09-20,2020,Chelsea,Liverpool,0,2,0.9041826473549008,2.302192585542798
2020-09-20,2020,Leicester,Burnley,4,2,0.987364836037159,1.5240391809493303
2020-09-20,2020,Newcastle United,Brighton,0,3,0.5206784121692181,1.8765969825908542
2020-09-20,2020,Southampton,Tottenham,2,5,2.350315622985363,2.3448431896977127
2020-09-21,2020,Aston Villa,Sheffield United,1,0,0.8052702955901623,0.849709240719676
2020-09-21,2020,Wolverhampton Wanderers,Manchester City,1,3,0.727677259594202,2.076514618471265
2020-09-26,2020,Brighton,Manchester United,2,3,2.977881697937846,1.5758274961262941
2020-09-26,2020,Burnley,Southampton,0,1,0.347135690972209,0.7066316157579422
2020-09-26,2020,Crystal Palace,Everton,1,2,0.4431149745360017,2.2718925084918737
2020-09-26,2020,West Bromwich Albion,Chelsea,3,3,0.9111851323395967,2.392857130151242
2020-09-27,2020,Manchester City,Leicester,2,5,1.4463312001898885,2.867210775613785
2020-09-27,2020,Sheffield United,Leeds,0,1,1.5327766183763742,1.4664131654426455
2020-09-27,2020,Tottenham,Newcastle United,1,1,3.3275773227214813,0.942726319655776
2020-09-27,2020,West Ham,Wolverhampton Wanderers,4,0,3.09852890484035,0.38515184354037046
2020-09-28,2020,Fulham,Aston Villa,0,3,0.5353976804763079,2.0322180101647973
2020-09-28,2020,Liverpool,Arsenal,3,1,2.80370906367898,1.1781715042889118
2020-10-03,2020,Chelsea,Crystal Palace,4,0,2.5143341533839703,0.10324854217469692
2020-10-03,2020,Everton,Brighton,4,2,2.3416500966995955,1.203390776179731
2020-10-03,2020,Leeds,Manchester City,1,1,2.5666185431182384,1.415325267240405
2020-10-03,2020,Newcastle United,Burnley,3,1,1.9562900941818953,0.4388487096875906
2020-10-04,2020,Arsenal,Sheffield United,2,1,0.6671310923993587,0.14499417133629322
2020-10-04,2020,Aston Villa,Liverpool,7,2,3.1169425416737795,1.6570484284311533
2020-10-04,2020,Leicester,West Ham,0,3,0.456021586433053,2.032274778932333
2020-10-04,2020,Manchester United,Tottenham,1,6,0.8734353724867105,3.3017044197767973
2020-10-04,2020,Southampton,West Bromwich Albion,2,0,0.9490786381065845,0.1624864973127842
2020-10-04,2020,Wolverhampton Wanderers,Fulham,1,0,0.9101026710122824,0.9693931117653847
2020-10-17,2020,Chelsea,Southampton,3,3,1.9870787542313337,1.423815056681633
2020-10-17,2020,Everton,Liverpool,2,2,1.3599793249741197,2.5276610236614943
2020-10-17,2020,Manchester City,Arsenal,1,0,1.5409909542649984,0.8383221980184317
2020-10-17,2020,Newcastle United,Manchester United,1,4,0.8674958012998104,2.2172901974990964
2020-10-18,2020,Crystal Palace,Brighton,1,1,0.7611688375473022,1.0935028651729226
2020-10-18,2020,Leicester,Aston Villa,0,1,0.6715950351208448,0.8737762095406651
2020-10-18,2020,Sheffield United,Fulham,1,1,1.6636329721659422,1.3561140047386289
2020-10-18,2020,Tottenham,West Ham,3,3,1.776020223274827,1.5827867649495602
2020-10-19,2020,Leeds,Wolverhampton Wanderers,0,1,1.083321369253099,0.6181912031024694
2020-10-19,2020,West Bromwich Albion,Burnley,0,0,0.7899831160902977,1.1214596508070827
2020-10-23,2020,Aston Villa,Leeds,0,3,1.5410014726221561,2.3846892826259136
2020-10-24,2020,Fulham,Crystal Palace,1,2,1.0747905541211367,2.867823777720332
2020-10-24,2020,Liverpool,Sheffield United,2,1,2.6553994081914425,1.3978753741830587
2020-10-24,2020,Manchester United,Chelsea,0,0,0.6484272694215178,0.2199060907587409
2020-10-24,2020,West Ham,Manchester City,1,1,0.2640776922926307,0.8924563219770789
2020-10-25,2020,Arsenal,Leicester,0,1,0.7466747406870127,0.7361715794540942
2020-10-25,2020,Southampton,Everton,2,0,0.7415101006627083,0.2870543245226145
2020-10-25,2020,Wolverhampton Wanderers,Newcastle United,1,1,0.7626251429319382,0.25368521735072136
2020-10-26,2020,Brighton,West Bromwich Albion,1,1,0.5468069138005376,0.2956538423895836
2020-10-26,2020,Burnley,Tottenham,0,1,0.9504502154886723,0.8143991976976395
2020-10-30,2020,Wolverhampton Wanderers,Crystal Palace,2,0,1.3489451091736555,0.8027672227472067
2020-10-31,2020,Burnley,Chelsea,0,3,0.40734124183654785,1.230772535316646
2020-10-31,2020,Liverpool,West Ham,2,1,1.5630165506154299,0.2690475769340992
2020-10-31,2020,Sheffield United,Manchester City,0,1,0.6875436827540398,1.8964285114780068
2020-11-01,2020,Aston Villa,Southampton,3,4,2.448546783067286,1.003329993225634
2020-11-01,2020,Manchester United,Arsenal,0,1,0.39411348942667246,0.9980722982436419
2020-11-01,2020,Newcastle United,Everton,2,1,2.6310976278036833,1.2180457040667534
2020-11-01,2020,Tottenham,Brighton,2,1,1.9723618039861321,0.3244568910449743
2020-11-02,2020,Fulham,West Bromwich Albion,2,0,1.630182377062738,0.4826849647797644
2020-11-02,2020,Leeds,Leicester,1,4,1.7730648834258318,3.12646459415555
2020-11-06,2020,Brighton,Burnley,0,0,1.5921810008585453,0.3269328661262989
2020-11-06,2020,Southampton,Newcastle United,2,0,0.9858283922076225,0.17563267424702644
2020-11-07,2020,Chelsea,Sheffield United,4,1,2.887589080259204,0.7730905208736658
2020-11-07,2020,Crystal Palace,Leeds,4,1,1.3016912788152695,0.847913159057498
2020-11-07,2020,Everton,Manchester United,1,3,0.37646382488310337,1.5976240066811442
2020-11-07,2020,West Ham,Fulham,1,0,1.4374188659712672,1.8504843916743994
2020-11-08,2020,Arsenal,Aston Villa,0,3,1.39036993868649,1.985532034188509
2020-11-08,2020,Leicester,Wolverhampton Wanderers,1,0,2.0545035237446427,0.5793604152277112
2020-11-08,2020,Manchester City,Liverpool,1,1,1.5848749931901693,1.190367627888918
2020-11-08,2020,West Bromwich Albion,Tottenham,0,1,0.8005156284198165,1.8917997675016522
2020-11-21,2020,Aston Villa,Brighton,1,2,1.943984467536211,1.5198765471577644
2020-11-21,2020,Manchester United,West Bromwich Albion,1,0,2.431038985028863,0.43864610977470875
2020-11-21,2020,Newcastle United,Chelsea,0,2,0.36828590743243694,1.8192277420312166
2020-11-21,2020,Tottenham,Manchester City,2,0,0.7611420564353466,1.6786035606637597
2020-11-22,2020,Fulham,Everton,2,3,1.8702811934053898,2.2507993979379535
2020-11-22,2020,Leeds,Arsenal,0,0,1.9770850203931332,0.7107782708480954
2020-11-22,2020,Liverpool,Leicester,3,0,4.2191251292824745,1.9839726835489273
2020-11-22,2020,Sheffield United,West Ham,0,1,0.6954817399382591,2.1169899869710207
2020-11-23,2020,Burnley,Crystal Palace,1,0,1.753429390490055,1.2833078168332577
2020-11-23,2020,Wolverhampton Wanderers,Southampton,1,1,1.62757589481771,1.0785046182572842
2020-11-27,2020,Crystal Palace,Newcastle United,0,2,0.5348931318148971,1.2792896870523691
2020-11-28,2020,Brighton,Liverpool,1,1,2.3072186578065157,0.2810900043696165
2020-11-28,2020,Everton,Leeds,0,1,1.2922898745164275,3.4466024674475193
2020-11-28,2020,Manchester City,Burnley,5,0,2.2612868268042803,0.41987716779112816
2020-11-28,2020,West Bromwich Albion,Sheffield United,1,0,1.7238558810204268,3.659361395984888
2020-11-29,2020,Arsenal,Wolverhampton Wanderers,1,2,1.118501314893365,2.3150200471282005
2020-11-29,2020,Chelsea,Tottenham,0,0,0.9747551819309592,0.2268897257745266
2020-11-29,2020,Southampton,Manchester United,2,3,0.4987832382321358,2.5066683925688267
2020-11-30,2020,Leicester,Fulham,1,2,1.3270611874759197,2.0371896158903837
2020-11-30,2020,West Ham,Aston Villa,2,1,0.5716326907277107,2.3905069679021835
2020-12-05,2020,Burnley,Everton,1,1,0.7304341346025467,2.2813876643776894
2020-12-05,2020,Chelsea,Leeds,3,1,5.009606517851353,1.0299920607358217
2020-12-05,2020,Manchester City,Fulham,2,0,3.2896082773804665,0.28744378639385104
2020-12-05,2020,West Ham,Manchester United,1,3,2.585846503265202,1.7870782893151045
2020-12-06,2020,Liverpool,Wolverhampton Wanderers,4,0,1.594540135934949,0.3577533205971122
2020-12-06,2020,Sheffield United,Leicester,1,2,0.29074290953576565,1.4289673548191786
2020-12-06,2020,Tottenham,Arsenal,2,0,0.3906285259872675,0.5952155822888017
2020-12-06,2020,West Bromwich Albion,Crystal Palace,1,5,0.5672337152063847,1.6885831337422132
2020-12-07,2020,Brighton,Southampton,1,2,2.0337576288729906,1.3480080738663673
2020-12-11,2020,Leeds,West Ham,1,2,1.5664448197931051,1.7850954690948129
2020-12-12,2020,Everton,Chelsea,1,0,1.2215970139950514,1.0062671974301338
2020-12-12,2020,Manchester United,Manchester City,0,0,0.5916168224066496,1.3095164401456714
2020-12-12,2020,Newcastle United,West Bromwich Albion,2,1,0.9041625307872891,0.5731896925717592
2020-12-12,2020,Wolverhampton Wanderers,Aston Villa,0,1,1.1401655916124582,1.2687208000570536
2020-12-13,2020,Arsenal,Burnley,0,1,1.8536249119788408,0.8221506774425507
2020-12-13,2020,Crystal Palace,Tottenham,1,1,1.8444323390722275,1.4193513942882419
2020-12-13,2020,Fulham,Liverpool,1,1,1.755602122284472,1.824447263032198
2020-12-13,2020,Leicester,Brighton,3,0,1.6435141284018755,0.791673481464386
2020-12-13,2020,Southampton,Sheffield United,3,0,2.2842298727482557,0.2191147245466709
2020-12-15,2020,Manchester City,West Bromwich Albion,1,1,2.5972607918083668,0.210243153385818
2020-12-15,2020,Wolverhampton Wanderers,Chelsea,2,1,0.6837827991694212,1.5677166255190969
2020-12-16,2020,Arsenal,Southampton,1,1,0.6611350402235985,1.1129566002637148
2020-12-16,2020,Fulham,Brighton,0,0,1.004480367526412,0.4716750308871269
2020-12-16,2020,Leeds,Newcastle United,5,2,2.9848045967519283,1.4759241361171007
2020-12-16,2020,Leicester,Everton,0,2,0.8388299569487572,2.2193986028432846
2020-12-16,2020,Liverpool,Tottenham,2,1,1.2178320046514273,1.5161011228337884
2020-12-16,2020,West Ham,Crystal Palace,1,1,0.44946911465376616,1.0910790544003248
2020-12-17,2020,Aston Villa,Burnley,0,0,1.8150254925712943,0.3167369831353426
2020-12-17,2020,Sheffield United,Manchester United,2,3,1.2352503780275583,1.7866698428988457
2020-12-19,2020,Crystal Palace,Liverpool,0,7,0.4893184727989137,2.8740522116422653
2020-12-19,2020,Everton,Arsenal,2,1,0.6665647756308317,1.252063057385385
2020-12-19,2020,Newcastle United,Fulham,1,1,1.267252686433494,1.106450255960226
2020-12-19,2020,Southampton,Manchester City,0,1,0.5869716657325625,1.15599344111979
2020-12-20,2020,Brighton,Sheffield United,1,1,2.9330066218972206,1.0371268633753061
2020-12-20,2020,Manchester United,Leeds,6,2,4.807996390387416,1.6346667120233178
2020-12-20,2020,Tottenham,Leicester,0,2,0.9891944555565715,1.749218006618321
2020-12-20,2020,West Bromwich Albion,Aston Villa,0,3,0.03884424641728401,2.61963779758662
2020-12-21,2020,Burnley,Wolverhampton Wanderers,2,1,1.2046544859185815,1.4572242004796863
2020-12-21,2020,Chelsea,West Ham,3,0,2.6817834936082363,0.2777366563677788
2020-12-26,2020,Arsenal,Chelsea,3,1,1.9527494683861732,2.2541388012468815
2020-12-26,2020,Aston Villa,Crystal Palace,3,0,5.165995724499226,0.8490859996527433
2020-12-26,2020,Fulham,Southampton,0,0,0.7818546527996659,0.11970867402851582
2020-12-26,2020,Leicester,Manchester United,2,2,1.0395984910428524,2.0842320136725903
2020-12-26,2020,Manchester City,Newcastle United,2,0,3.195753041654825,0.2009532544761896
2020-12-26,2020,Sheffield United,Everton,0,1,0.4445841386914253,0.5688030384480953
2020-12-27,2020,Leeds,Burnley,1,0,2.132708949968219,1.5459070531651378
2020-12-27,2020,Liverpool,West Bromwich Albion,1,1,1.4548478983342648,0.7398447133600712
2020-12-27,2020,West Ham,Brighton,2,2,1.3887722063809633,1.5080992532894015
2020-12-27,2020,Wolverhampton Wanderers,Tottenham,1,1,0.742598220705986,0.40810893662273884
