date,season,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2015-08-08,2015,Bournemouth,Aston Villa,0,1,0.8761058999225497,0.7862298991531134
2015-08-08,2015,Chelsea,Swansea,2,2,0.6511868014931679,3.120389813557267
2015-08-08,2015,Everton,Watford,2,2,0.6042262222617865,0.5584565894678235
2015-08-08,2015,Leicester,Sunderland,4,2,2.5680314917117357,1.460834720171988
2015-08-08,2015,Manchester United,Tottenham,1,0,0.6275387834757566,0.6757232993841171
2015-08-08,2015,Norwich,Crystal Palace,1,3,1.1307551879435778,2.1097498117014766
2015-08-09,2015,Arsenal,West Ham,0,2,1.3341026520356536,0.5359608307480812
2015-08-09,2015,Newcastle United,Southampton,2,2,1.5461330655962229,1.2529004635289311
2015-08-09,2015,Stoke,Liverpool,0,1,0.38844195660203695,0.3298731530085206
2015-08-10,2015,West Bromwich Albion,Manchester City,0,3,0.43523802421987057,1.9825521130114794
2015-08-14,2015,Aston Villa,Manchester United,0,1,0.21911815367639065,0.6604035515338182
2015-08-15,2015,Southampton,Everton,0,3,1.064245317131281,1.5011175479739904
2015-08-15,2015,Sunderland,Norwich,1,3,0.3291282067075372,1.7309300042688847
2015-08-15,2015,Swansea,Newcastle United,2,0,1.9742362396791577,0.11310860700905323
2015-08-15,2015,Tottenham,Stoke,2,2,1.707374719902873,2.812516637146473
2015-08-15,2015,Watford,West Bromwich Albion,0,0,0.760847782716155,0.6840364038944244
2015-08-15,2015,West Ham,Leicester,1,2,0.5134908799082041,2.083599904552102
2015-08-16,2015,Crystal Palace,Arsenal,1,2,0.9917713403701782,2.2845948673784733
2015-08-16,2015,Manchester City,Chelsea,3,0,2.1964314952492714,0.4867483638226986
2015-08-17,2015,Liverpool,Bournemouth,1,0,2.195563355460763,0.4608047781512141
2015-08-22,2015,Crystal Palace,Aston Villa,2,1,1.238067777827382,0.7652780255302787
2015-08-22,2015,Leicester,Tottenham,1,1,0.8378800824284554,1.8943715067580342
2015-08-22,2015,Manchester United,Newcastle United,0,0,1.2654907051473856,0.4384004594758153
2015-08-22,2015,Norwich,Stoke,1,1,3.1488756220787764,0.6982283815741539
2015-08-22,2015,Sunderland,Swansea,1,1,0.5710461176931858,1.568921004422009
2015-08-22,2015,West Ham,Bournemouth,3,4,1.5224503632634878,2.8554023392498493
2015-08-23,2015,Everton,Manchester City,0,2,0.5793375913053751,1.587184740230441
2015-08-23,2015,Watford,Southampton,0,0,1.2736464813351631,0.6835895506665111
2015-08-23,2015,West Bromwich Albion,Chelsea,2,3,1.4262177208438516,2.069512089714408
2015-08-24,2015,Arsenal,Liverpool,0,0,1.8416081722825766,1.292061360552907
2015-08-29,2015,Aston Villa,Sunderland,2,2,2.2740576220676303,0.36884806491434574
2015-08-29,2015,Bournemouth,Leicester,1,1,0.3283820319920778,0.9190970286726952
2015-08-29,2015,Chelsea,Crystal Palace,1,2,1.286749362014234,2.2158698020502925
2015-08-29,2015,Liverpool,West Ham,0,3,0.5617368537932634,0.9761223867535591
2015-08-29,2015,Manchester City,Watford,2,0,1.5289516616612673,0.37311388086527586
2015-08-29,2015,Newcastle United,Arsenal,0,1,0.031969401985406876,2.3600240191444755
2015-08-29,2015,Stoke,West Bromwich Albion,0,1,1.2184892408549786,0.8811940429732203
2015-08-29,2015,Tottenham,Everton,0,0,1.9991699969395995,0.6946915201842785
2015-08-30,2015,Southampton,Norwich,3,0,3.2902857679873705,0.6402470264583826
2015-08-30,2015,Swansea,Manchester United,2,1,0.9711833130568266,1.2808932811021805
2015-09-12,2015,Arsenal,Stoke,2,0,4.655998196452856,0.19382300041615963
2015-09-12,2015,Crystal Palace,Manchester City,0,1,0.7434803782962263,3.1670992160215974
2015-09-12,2015,Everton,Chelsea,3,1,1.1802562531083822,0.6577786095440388
2015-09-12,2015,Manchester United,Liverpool,3,1,1.4620636878535151,1.0257156500592828
2015-09-12,2015,Norwich,Bournemouth,3,1,1.3328885771334171,0.38949508406221867
2015-09-12,2015,Watford,Swansea,1,0,1.6236339248716831,0.5030075032263994
2015-09-12,2015,West Bromwich Albion,Southampton,0,0,0.4091433258727193,1.008659077808261
2015-09-13,2015,Leicester,Aston Villa,3,2,1.3505242802202702,0.9531805468723178
2015-09-13,2015,Sunderland,Tottenham,0,1,1.0406958274543285,1.4561520041897893
2015-09-14,2015,West Ham,Newcastle United,2,0,1.9405049309134483,0.7177246091887355
2015-09-19,2015,Aston Villa,West Bromwich Albion,0,1,0.8767189960926771,0.635082308202982
2015-09-19,2015,Bournemouth,Sunderland,2,0,0.644334651529789,0.8557493882253766
2015-09-19,2015,Chelsea,Arsenal,2,0,2.0687008993700147,0.7753120791167021
2015-09-19,2015,Manchester City,West Ham,1,2,3.2294695572927594,0.995272945612669
2015-09-19,2015,Newcastle United,Watford,1,2,1.1511385319754481,1.3396052233874798
2015-09-19,2015,Stoke,Leicester,2,2,1.147170572541654,1.2258211625739932
2015-09-19,2015,Swansea,Everton,0,0,0.8648675866425037,1.7891212161630392
2015-09-20,2015,Liverpool,Norwich,1,1,1.9058712869882584,0.5562708582729101
2015-09-20,2015,Southampton,Manchester United,2,3,2.0379139613360167,1.6884022681042552
2015-09-20,2015,Tottenham,Crystal Palace,1,0,1.0157278897240758,0.5461340621113777
2015-09-26,2015,Leicester,Arsenal,2,5,1.3851638082414865,3.910826320759952
2015-09-26,2015,Liverpool,Aston Villa,3,2,1.7901993738487363,0.8920543044805527
2015-09-26,2015,Manchester United,Sunderland,3,0,2.8970968145877123,0.8964993292465806
2015-09-26,2015,Newcastle United,Chelsea,2,2,0.7021089876070619,1.305925203487277
2015-09-26,2015,Southampton,Swansea,3,1,1.561510014347732,1.4255171827971935
2015-09-26,2015,Stoke,Bournemouth,2,1,1.9448337694630027,0.878473655320704
2015-09-26,2015,Tottenham,Manchester City,4,1,2.339557843282819,1.5825722198933363
2015-09-26,2015,West Ham,Norwich,2,2,2.668650843203068,1.386030750349164
