date,season,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2023-08-11,2023,Burnley,Manchester City,0,3,0.31103246938437223,2.472838028334081
2023-08-12,2023,Arsenal,Nottingham Forest,2,1,0.8426200859248638,0.966305049136281
2023-08-12,2023,Bournemouth,West Ham,1,1,1.5102487290278077,1.4833959182724357
2023-08-12,2023,Brighton,Luton,4,1,4.37022446654737,1.8859357507899404
2023-08-12,2023,Everton,Fulham,0,1,2.5900127729400992,1.5814367085695267
2023-08-12,2023,Newcastle United,Aston Villa,5,1,4.322082582861185,1.6069292295724154
2023-08-12,2023,Sheffield United,Crystal Palace,0,1,0.4227036740630865,2.2789177848026156
2023-08-13,2023,Brentford,Tottenham,2,2,1.9094930570572615,1.4541301280260086
2023-08-13,2023,Chelsea,Liverpool,1,1,1.9325834829360247,1.299940824508667
2023-08-14,2023,Manchester United,Wolverhampton Wanderers,1,0,1.970873599871993,1.7860415577888489
2023-08-18,2023,Nottingham Forest,Sheffield United,2,1,1.3729180470108986,0.5510381292551756
2023-08-19,2023,Fulham,Brentford,0,3,0.39989904686808586,3.5200681798160076
2023-08-19,2023,Liverpool,Bournemouth,3,1,3.794727102853358,1.5153363179415464
2023-08-19,2023,Manchester City,Newcastle United,1,0,1.225276560522616,0.25715359672904015
2023-08-19,2023,Tottenham,Manchester United,2,0,2.5530841518193483,2.4472359465435147
2023-08-19,2023,Wolverhampton Wanderers,Brighton,1,4,2.6926854578778148,3.1556202210485935
2023-08-20,2023,Aston Villa,Everton,4,0,3.24335999134928,0.721464779227972
2023-08-20,2023,West Ham,Chelsea,3,1,1.7123370002955198,1.6101948572322726
2023-08-21,2023,Crystal Palace,Arsenal,0,1,1.073930219747126,2.2108465749770403
2023-08-25,2023,Chelsea,Luton,3,0,3.4141876390203834,0.4657405912876129
2023-08-26,2023,Arsenal,Fulham,2,2,3.2396909072995186,0.8517466289922595
2023-08-26,2023,Bournemouth,Tottenham,0,2,0.4856339152902365,2.279088018462062
2023-08-26,2023,Brentford,Crystal Palace,1,1,0.9490013495087624,1.082060119137168
2023-08-26,2023,Brighton,West Ham,1,3,1.3758190190419555,3.086472211405635
2023-08-26,2023,Everton,Wolverhampton Wanderers,0,1,1.947610585950315,1.405045504681766
2023-08-26,2023,Manchester United,Nottingham Forest,3,2,3.028027390129864,0.9603535486385226
2023-08-27,2023,Burnley,Aston Villa,1,3,0.6306046843528748,3.0864990800619125
2023-08-27,2023,Newcastle United,Liverpool,1,2,1.6220701076090336,0.8561209095641971
2023-08-27,2023,Sheffield United,Manchester City,1,2,0.7622317923232913,3.8480365024879575
2023-09-01,2023,Luton,West Ham,1,2,2.2043672297149897,1.2252753367647529
2023-09-02,2023,Brentford,Bournemouth,2,2,3.071845098398626,2.11286149173975
2023-09-02,2023,Brighton,Newcastle United,3,1,1.378046590834856,0.9047598242759705
2023-09-02,2023,Burnley,Tottenham,2,5,1.6660376451909542,2.4027003534138203
2023-09-02,2023,Chelsea,Nottingham Forest,0,1,2.2844156473875046,1.1504955999553204
2023-09-02,2023,Manchester City,Fulham,5,1,2.040471337735653,1.8878940343856812
2023-09-02,2023,Sheffield United,Everton,2,2,1.6575452014803886,3.2604282703250647
2023-09-03,2023,Arsenal,Manchester United,3,1,1.9097251631319523,0.9847702421247959
2023-09-03,2023,Crystal Palace,Wolverhampton Wanderers,3,2,2.3584997057914734,1.1391115942969918
2023-09-03,2023,Liverpool,Aston Villa,3,0,2.742964493110776,0.6155025251209736
2023-09-16,2023,Aston Villa,Crystal Palace,3,1,2.3184947185218334,1.1169583685696125
2023-09-16,2023,Fulham,Luton,1,0,1.7570361364632845,1.457055028527975
2023-09-16,2023,Manchester United,Brighton,1,3,0.7199513204395771,1.9390787538141012
